mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
69	69	206	206	0.5	1/2	1/2	3/4	2	1	V7/#VI		a	i		V7/#VI	V		7		#VI			Mm7	1	1	4, 8, 5, 2		4	4
69	69	413/2	413/2	0.5	5/8	5/8	3/4	2	1	V65/#VI		a	i		V65/#VI	V		65		#VI			Mm7	1	1	8, 5, 2, 4		4	8
70	70	207	207	1.0	0	0	3/4	2	1	#vii%2		a	i		#vii%2	#vii	%	2					%7	1	1	3, 5, 2, -1		5	3
70	70	208	208	0.5	1/4	1/4	3/4	2	1	#vii%7		a	i		#vii%7	#vii	%	7					%7	1	1	5, 2, -1, 3		5	5
70	70	417/2	417/2	0.5	3/8	3/8	3/4	2	1	V65		a	i		V65	V		65					Mm7	1	1	5, 2, -1, 1		1	5
70	70	209	209	0.5	1/2	1/2	3/4	2	1	i(+4+2)		a	i		i(+4+2)	i			+4+2				m	1	1	0, -3, 1	-1, 2	0	0
70	70	419/2	419/2	0.5	5/8	5/8	3/4	2	1	ii%2		a	i		ii%2	ii	%	2					%7	1	1	0, 2, -1, -4		2	0
71	71	210	210	1.0	0	0	3/4	2	1	#vii%65		a	i		#vii%65	#vii	%	65					%7	1	1	2, -1, 3, 5		5	2
71	71	211	211	0.5	1/4	1/4	3/4	2	1	#iii		a	i		#iii	#iii							m	1	1	4, 1, 5		4	4
71	71	423/2	423/2	0.5	3/8	3/8	3/4	2	1	#viio64		a	i		#viio64	#vii	o	64					o	1	1	-1, 5, 2		5	-1
71	71	212	212	0.5	1/2	1/2	3/4	2	1	#iii65		a	i		#iii65	#iii		65					mm7	1	1	1, 5, 2, 4		4	1
71	71	425/2	425/2	0.5	5/8	5/8	3/4	2	1	V65/#VI		a	i		V65/#VI	V		65		#VI			Mm7	1	1	8, 5, 2, 4		4	8
72	72	213	213	3.0	0	0	3/4	2	1	#vii%2		a	i		#vii%2	#vii	%	2					%7	1	1	3, 5, 2, -1		5	3
73	73	216	216	1.0	0	0	3/4	2	1	bV64|EC		a	i		bV64	bV		64			EC		M	1	1	-5, -6, -2		-6	-5
73	73	217	217	1.0	1/4	1/4	3/4	2	1	bV6		a	i		bV6	bV		6					M	1	1	-2, -5, -6		-6	-2
73	73	218	218	2.0	1/2	1/2	3/4	2	1	bV64		a	i		bV64	bV		64					M	1	1	-5, -6, -2		-6	-5
74	74	220	220	1.0	1/4	1/4	3/4	2	1	bV6		a	i		bV6	bV		6					M	1	1	-2, -5, -6		-6	-2
74	74	221	221	2.0	1/2	1/2	3/4	2	1	bV64		a	i		bV64	bV		64					M	1	1	-5, -6, -2		-6	-5
75	75	223	223	1.0	1/4	1/4	3/4	2	1	iii6		a	i		iii6	iii		6					m	1	1	-6, -2, -3		-3	-6
75	75	224	224	1.0	1/2	1/2	3/4	2	1	iii		a	i		iii	iii							m	1	1	-3, -6, -2		-3	-3
76	76	225	225	1.0	0	0	3/4	2	1	bII	vii6	a	i		bII	bII							M	1	1	-5, -1, -4		-5	-5
76	76	226	226	1.0	1/4	1/4	3/4	2	1	vii64		a	i		vii64	vii		64					m	1	1	-1, -2, -5		-2	-1
76	76	227	227	1.0	1/2	1/2	3/4	2	1	vii6		a	i		vii6	vii		6					m	1	1	-5, -1, -2		-2	-5
77	77	228	228	1.0	0	0	3/4	2	1	V43/bI		a	i		V43/bI	V		43		bI			Mm7	1	1	-5, -8, -6, -2		-6	-5
77	77	229	229	1.0	1/4	1/4	3/4	2	1	V7/bV		a	i		V7/bV	V		7		bV			Mm7	1	1	-5, -1, -4, -7		-5	-5
77	77	230	230	1.0	1/2	1/2	3/4	2	1	bIV6		a	i		bIV6	bIV		6					M	1	1	-4, -7, -8		-8	-4
78	78	231	231	1.0	0	0	3/4	2	1	V43/bI		a	i		V43/bI	V		43		bI			Mm7	1	1	-5, -8, -6, -2		-6	-5
78	78	232	232	1.0	1/4	1/4	3/4	2	1	V2/bI		a	i		V2/bI	V		2		bI			Mm7	1	1	-8, -6, -2, -5		-6	-8
78	78	233	233	1.0	1/2	1/2	3/4	2	1	V/bI		a	i		V/bI	V				bI			M	1	1	-6, -2, -5		-6	-6
79	79	234	234	1.0	0	0	3/4	2	1	V43/bI		a	i		V43/bI	V		43		bI			Mm7	1	1	-5, -8, -6, -2		-6	-5
79	79	235	235	1.0	1/4	1/4	3/4	2	1	V65/bI		a	i		V65/bI	V		65		bI			Mm7	1	1	-2, -5, -8, -6		-6	-2
79	79	236	236	1.0	1/2	1/2	3/4	2	1	V/bI		a	i		V/bI	V				bI			M	1	1	-6, -2, -5		-6	-6
80	80	237	237	1.0	0	0	3/4	2	1	#vi7|DC		a	i		#vi7	#vi		7			DC		mm7	1	1	3, 0, 4, 1		3	3
80	80	238	238	1.0	1/4	1/4	3/4	2	1	#iii		a	i		#iii	#iii							m	1	1	4, 1, 5		4	4
80	80	239	239	1.0	1/2	1/2	3/4	2	1	V		a	i		V	V							M	1	1	1, 5, 2		1	1
81	81	240	240	1.0	0	0	3/4	2	1	V7		a	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
81	81	241	241	1.0	1/4	1/4	3/4	2	1	V2		a	i		V2	V		2					Mm7	1	1	-1, 1, 5, 2		1	-1
81	81	242	242	1.0	1/2	1/2	3/4	2	1	V7		a	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
